No,Concepto,Definición
106,Cuenca hidrográfica,"Superficie total de tierra drenada por un río y sus afluentes.

Fuente: 
Geoenciclopedia. Cuencas Hidrográficas.

Sitio(s) web:
https://www.geoenciclopedia.com/cuencas-hidrograficas/
"
107,Cuerpo de agua,"Los lagos, acuíferos y ríos permanentes/intermitentes, bahías, ensenadas, lagunas costeras, estuario, marismas, embalses, pantanos, ciénegas y otras corrientes.

Fuente: 
Secretaría de Ecología y Desarrollo Urbano del Municipio Benito Juárez. (2014). Programa de Desarrollo Urbano del Centro de Población de Cancún, Municipio Benito Juárez, Quintana Roo (2014-2030). México: Honorable Ayuntamiento de Benito Juárez.

"
108,Cultivo,"Arte de cultivar la tierra. Refiere a la actividad humana que permite que la tierra fructifique a través de los diferentes trabajos de tratamiento del suelo.

Fuente: 
Definición realizada con base en los conceptos contemplados en las páginas de internet: http://www.infoagro.com/diccionario_agricola/traducir.asp?i=1&id=227&idt=1&palabra=cultivo	cultivo_cultivos_ https://deconceptos.com/ciencias-sociales/cultivo.

"
109,Curva de nivel,"Línea imaginaria que une puntos con la misma elevación con respecto al nivel medio del mar empleado para representar el relieve del territorio.

Fuente: 
Instituto Nacional de Estadística y Geografía. (1998). Diccionario de Datos Topográficos Esc. 1:250 000. México: INEGI.

"
110,Datos catastrales,"Los atributos cualitativos y cuantitativos relativos a la identificación física, jurídica, económica y fiscal de los predios del territorio nacional, los cuales determinan su caracterización y localización geográfica, así como su representación cartográfica.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2013). Diccionario de Datos Catastrales Escala 1:1 000. México: INEGI.

"
111,Déficit de vivienda,"Conjunto de necesidades de la población en materia habitacional existentes en un momento y territorio determinado.

Fuente: 
Programa de Ordenación de la Zona Conurbada Intermunicipal, en su Modalidad de Centro de Población de Cuernavaca, Emiliano Zapata, Jiutepec, Temixco y Xochitepec. Glosario.

Sitio(s) web:
http://sustentable.morelos.gob.mx/p-territorial/pozci-cvaca-glosario
"
112,Deforestación,"Se define como la transformación del bosque en otro uso de la tierra o reducción, a largo plazo, de la cubierta de copa por debajo del umbral mínimo del 10 por ciento. La deforestación implica la pérdida duradera o permanente de la cubierta forestal y la transformación del bosque en tierras dedicadas a otros usos (FAO, 2000).

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
113,Delimitación,"Establecer en mapas o en cartas topográficas, el límite que precise e identifica la separación entre dos o más territorios.

Fuente: 
Subsecretaría de Desarrollo Urbano y Ordenación del Territorio. (2010). desarrollo urbano y ordenamiento territorial. México: Secretaría de Desarrollo Social.

"
114,Demarcaciones territoriales,"Divisiones territoriales de la Ciudad de México a las que se refiere el artículo 122 de la Constitución Política de los Estados Unidos Mexicanos.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XI).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
115,Densidad de población,"La relación entre un espacio determinado y el número de personas que lo habitan. El resultado de esta división es el número de habitantes por kilómetros cuadrados.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos. (2018).

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
116,Densidad de vivienda,"Relación del número de unidades de vivienda de un sector determinado por hectárea. Puede ser considerada como densidad bruta o neta de acuerdo con la superficie de terreno considerada, la superficie urbanizada total o únicamente la destinada a vivienda.

Fuente: 
Plan Parcial de Desarrollo Urbano para el Canal de la Cortadura, Tampico, Tamaulipas. Glosario de términos. Página 7.

Sitio(s) web:
http://docplayer.es/20422358-Plan-parcial-de-desarrollo-urbano-para-el-canal-de-la-cortadura-tampico-tamaulipas
"
117,Densificación,"Acción urbanística cuya finalidad es incrementar el número de habitantes y la población flotante por unidad de superficie, considerando la capacidad de soporte del territorio y, en su caso, adecuando los espacios públicos y sus infraestructuras.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XII).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
118,Desastre,"Al resultado de la ocurrencia de uno o más agentes perturbadores severos y o extremos, concatenados o no, de origen natural o de la actividad humana, que cuando acontecen en un tiempo y en una zona determinada, causan daños y que por su magnitud exceden la capacidad de respuesta de la comunidad afectada.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Delegacionales 2017. Módulo 2: Administración Pública Municipal o Delegacional. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=cngmd2017
"
119,Desarrollo habitacional,"Es el grupo de viviendas proyectado en forma integral, con la dotación de infraestructura y servicios urbanos.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Delegacionales 2017. Módulo 2: Administración Pública Municipal o Delegacional. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=cngmd2017
"
120,Desarrollo metropolitano,"Proceso de planeación, regulación, gestión, financiamiento y ejecución de acciones, obras y servicios, en zonas metropolitanas, que, por su población, extensión y complejidad, deberán participar en forma coordinada los tres órdenes de gobierno de acuerdo a sus atribuciones.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XIV).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
121,Desarrollo regional,"El proceso de Crecimiento económico en dos o más Centros de Población determinados, garantizando el Mejoramiento de la calidad de vida de la población, la preservación del ambiente, así como la conservación y reproducción de los recursos naturales.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XV).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
122,Desarrollo sustentable,"Acción concertada de las naciones para impulsar un modelo de desarrollo económico mundial compatible con la conservación del medio ambiente y con la equidad social.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
123,Desarrollo urbano,"El proceso de planeación y regulación de la Fundación, Conservación, Mejoramiento y Crecimiento de los Centros de Población.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XIII).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
124,Desarrollo urbano sustentable,"El proceso de planeación y regulación, para la fundación, conservación, mejoramiento y crecimiento de los centros de población en el que se considere la ordenación, regulación y adecuación de sus elementos físicos, económicos y sociales y su relación con el medio ambiente natural.

Fuente: 
Gobierno del Estado de Nuevo León. (2016). Ley de Desarrollo Urbano del Estado de Nuevo León. Nuevo León: H. Congreso del Estado de Nuevo León.

"
125,Deslinde,"Identificación y determinación de los límites de cualquier inmueble.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
126,Deslizamiento del terreno,"Corresponde a un movimiento del suelo, generalmente por acción de una falla o debilidad del terreno, se puede presentar en forma rotacional (hundimientos) y traslacional (movimientos de capas delgadas de suelo o rocas fracturadas).

Fuente: 
Definición realizada con base en el portal Construmática, Metaportal de Arquitectura, Ingeniería y Construcción.

Sitio(s) web:
http://www.construmatica.com/construpedia/Deslizamiento_del_Terreno
"
127,Destinos,"Los fines públicos a que se prevea dedicar determinadas zonas o predios de un centro de población o asentamiento humano.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XVI)

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
128,Destino de la tierra,"Se refiere a la distribución de la tierra al interior de cada uno de los polígonos que integran el ejido o comunidad agraria, según su uso o forma de aprovechamiento. Comprende las tierras parceladas, las de uso común, las de asentamiento humano con su reserva para el crecimiento del poblado y otras superiores como las correspondientes a caminos, ríos y obras de infraestructura, entre otras.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Económicas: Censos agropecuarios, Censo ejidal 2007.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CAE2007
"
129,Derecho a la ciudad,"Garantizar a todos los habitantes de un asentamiento humano o centro de población el acceso a la vivienda, infraestructura, equipamiento y servicios básicos, a partir de los derechos reconocidos por la Constitución Política de los Estados Unidos Mexicanos y los tratados internacionales suscritos por México en la materia.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

"
130,Derecho a la propiedad urbana,"Garantizar los derechos de propiedad inmobiliaria con la intención de que los propietarios tengan protegidos sus derechos, pero también asuman responsabilidades específicas con el Estado y con la sociedad, respetando los derechos y límites previstos en la Constitución Política de los Estados Unidos Mexicanos. El interés público prevalecerá en la ocupación y aprovechamiento del territorio.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

"
131,Diagnóstico,"Análisis de los problemas y potencialidades más relevantes en materia económica, social, cultural, ambiental y de seguridad, que permitirá formular una propuesta de desarrollo urbano. El diagnóstico debe explicar la situación actual con base en el estudio de los cambios ocurridos hasta el presente, así como de las causas que lo originaron, y mostrar las perspectivas a futuro mediante la protección de tendencias más significativas, a fin de anticipar situaciones de posibles dificultades o límites para el desarrollo.

Fuente: 
Manual para la elaboración de Planes de Desarrollo Urbano. Ministerio de Vivienda, Construcción y Saneamiento. Perú.

Sitio(s) web:
http://www.cap.org.pe/pdfsminv/glosario.pdf
"
132,Dinámica demográfica,"Ritmo de crecimiento poblacional inducido por factores naturales y sociales, y que repercute en la distribución espacial de la misma.

Fuente: 
Universidad Nacional Autónoma de México (UNAM). Glosario de términos. Fecha de consulta: marzo 2018.

Sitio(s) web:
https://archivos.juridicas.unam.mx/www/bjv/libros/4/1674/8.pdf
"
133,Dinámica económica,"Estudio de los fenómenos económicos en su relación con el tiempo.

Fuente: 
La Gran Enciclopedia de Economía. Glosario.

Sitio(s) web:
http://www.economia48.com/spa/d/dinamica-economica/dinamica-economica.htm
"
134,Dispersión de la población,"Se refiere al aislamiento en que se encuentran las personas que habitan pequeños poblados distantes entre sí y lejos de las ciudades.

Fuente: 
Programa de Ordenación de la Zona Conurbada Intermunicipal, en su Modalidad de Centro de Población de Cuernavaca, Emiliano Zapata, Jiutepec, Temixco y Xochitepec. Glosario.

Sitio(s) web:
http://sustentable.morelos.gob.mx/p-territorial/pozci-cvaca-glosario
"
135,Dispersión urbana,"Al fenómeno de propagación de una ciudad y sus barrios hacia la tierra rural en la periferia de una zona urbana.

Fuente: 
Wikipedia, la enciclopedia libre. (2021). Dispersión Urbana. de Wikipedia, la enciclopedia libre.

Sitio(s) web:
https://es.wikipedia.org/wiki/Dispersi%C3%B3n_urbana#:~:text=Se%20conoce%20como%20fragmentaci%C3%B
"
136,Distribución de la población,"Ubicación real o propuesta de la población en el territorio, pudiendo tratarse a distintos niveles de magnitud geográfica; desde nivel mundial hasta local entre otros, representándose convencionalmente sobre planos o cartas geográficas.

Fuente: 
Programa de Ordenación de la Zona Conurbada Intermunicipal, en su Modalidad de Centro de Población de Cuernavaca, Emiliano Zapata, Jiutepec, Temixco y Xochitepec. Glosario.

Sitio(s) web:
http://sustentable.morelos.gob.mx/p-territorial/pozci-cvaca-glosario
"
137,División,"Partición de un inmueble en cualquier número de fracciones, siempre que para dar acceso a las partes resultantes no se generen vialidades urbanas, ni se requieran en la zona de su ubicación dotaciones adicionales a las existentes de infraestructura y servicios públicos.

Fuente: 
Gobierno Constitucional del Estado Libre y soberano de Guanajuato. (2018). Código Territorial para el Estado y los Municipios de Guanajuato. México: H. Congreso Constitucional del Estado Libre y Soberano de Guanajuato.

"
138,Dominio pleno,"Procedimiento administrativo, derivado de una decisión expresa de la Asamblea, mediante el cual se formaliza el cambio del régimen de tenencia de superficies ejidales o comunales al de propiedad privada.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Económicas: Censos agropecuarios, Censo ejidal 2007.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CAE2007
"
139,Dotación de agua,"Clasificación de las viviendas particulares con agua entubada según la frecuencia en su disponibilidad.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
140,Dotación de equipamiento urbano,"Otorgar a la población de instalaciones urbanas útiles para atender y/o satisfacer las necesidades básicas en cuanto a: Educación y cultura; Salud y asistencia social; Comercio y abasto; Comunicaciones y transporte; Recreación y deporte; y Administración pública y servicios urbanos.

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de ordenamiento territorial y desarrollo urbano.

"
141,Dotación de servicios,"Asignación y suministro de los elementos de servicio demandados o requeridos por una población determinada; elementos dotados o suministrados a una población, considerados en cantidad por habitante, por familia, vivienda, por mil habitantes, etc.

Fuente: 
Ayuntamiento de Chihuahua. (2013). Programa Maestro del Centro Urbano de la Ciudad de Chihuahua. (México). Instituto Municipal de Planeación (IMPLAN).

"
142,Drenaje,"Sistema que ha sido empleado tradicionalmente para recolectar el agua del drenaje municipal en alcantarillas de gravedad y conducirla a una planta de tratamiento central primaria o secundaria, previo a su descarga en las aguas superficiales.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
143,Ecosistema,"La unidad funcional básica de interacción de los organismos vivos entre sí y de estos con el ambiente, en un espacio y tiempo determinados.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
144,Edafología,"Ciencia que trata sobre el origen y desarrollo de los suelos, sus propiedades y localización geográfica. Sus conceptos se basan en estudios sobre la génesis de los suelos, sus propiedades físicas, químicas, mineralógicas y biológicas.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
145,Edificación,"Obra construida por el ser humano que incluye edificios y estructuras.

Fuente: 
Estado Libre Asociado de Puerto Rico. Oficina del Gobernador. Junta de Planificación. Glosario de términos de los Reglamentos de Planificación. Pág. 51.

"
146,Ejido,"Núcleo de población conformado por las tierras ejidales y por los hombres y mujeres titulares de derechos ejidales.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
147,Emigración,"Fenómeno demográfico que ocurre cuando la gente se va del lugar donde habita o nació para vivir en otra ciudad, estado o país.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos. (2018).

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
148,Emisiones contaminantes,"La generación o descarga de materia o energía, en cualquier cantidad, estado físico o forma, que, al incorporarse, acumularse o actuar en los seres vivos, en la atmósfera, agua, suelo, subsuelo o cualquier elemento natural, afecte negativamente su composición o condición natural (LADF).

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
149,Entidad federativa,"Son las divisiones territoriales en que se divide el Estado mexicano, es decir, los estados que conforman la Federación; son libres y soberanos en cuanto a su régimen interior, pero tienen una soberanía limitada en lo que respecta a las cuestiones que por su importancia sobrepasan sus facultades.

Fuente: 
Diccionario Jurídico. Definición.

Sitio(s) web:
http://diccionariojuridico.mx/definicion/entidades-federativas/
"
150,Equipamiento comunitario,"Conjunto de inmuebles, instalaciones, y construcciones, a través de los cuales, la población puede desarrollar diversas actividades económicas, sociales, recreativas, culturales, deportivas, educativas, de traslado y de abasto; cuyo diseño y edificación derivan de un ejercicio de participación comunitaria y puede estar desarrollado o no, en un predio de propiedad social.

Fuente: 
Cámara de diputados del H. Congreso de la Unión. (2021). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2022. (México). Diario Oficial de la Federación.

"
151,Equipamiento urbano,"El conjunto de inmuebles, instalaciones, construcciones y mobiliario utilizado para prestar a la población los Servicios Urbanos para desarrollar actividades económicas, sociales, culturales, deportivas, educativas, de traslado y de abasto.

Fuente: 
Secretaria de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XVII).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
152,Erosión,"Es la destrucción, deterioro y eliminación del suelo. Los factores que acentúan la erosión del suelo son el clima, la precipitación y la velocidad del viento, la topografía, la naturaleza, el grado y la longitud del declive, las características físico-químicas del suelo, la cubierta de la tierra, su naturaleza y grado de cobertura, los fenómenos naturales como terremotos, y factores humanos como tala indiscriminada, quema subsecuente y pastoreo en exceso.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
153,Erosión eólica,"Es el desgaste que pueden sufrir las rocas o bien a la remoción del suelo por parte del viento.

Fuente: 
Ecología hoy.

Sitio(s) web:
https://www.ecologiahoy.com/erosion-eolica
"
154,Erosión hídrica,"Es el proceso mediante el cual el suelo y sus partículas son separados por el agua.

Fuente: 
Instituto Nacional de Tecnología Agropecuaria. Argentina.

Sitio(s) web:
https://inta.gob.ar/documentos/erosion-hidrica
"
155,Escurrimiento,"Parte del agua de lluvia, nieve derretida o agua de riego que fluye por la superficie terrestre y finalmente regresa a los arroyos. Un escurrimiento puede arrastrar contaminantes del aire o de la tierra y llevarlos a las aguas receptoras.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
156,Espacio edificable,"Suelo apto para el uso y aprovechamiento de sus propietarios o poseedores en los términos de la legislación correspondiente.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XIX).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
157,Espacio público,"Áreas, espacios abiertos o predios de los asentamientos humanos destinados al uso, disfrute o aprovechamiento colectivo, de acceso generalizado y libre tránsito.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XVIII).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
158,Espacio urbano,"Volumen ubicado sobre el suelo urbano en donde existen construcciones o que es susceptible de ser edificado (LDUDF).

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
159,Espacios incluyentes,"Aquel que garantiza el acceso al entorno físico en igualdad de condiciones. Es decir, que cualquier persona, independientemente de sus circunstancias, pueda acceder y disfrutar de dicho espacio. Esto es sin importar su sexo, edad o si tiene alguna discapacidad, o sea, sin discriminar ni estigmatizar a nadie, es lo que se conoce como accesibilidad universal, diseñar el espacio para todas las personas en la medida de lo posible.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). Activación con perspectiva de género. Guía para aprovechamiento y Operación de equipamientos urbanos y espacios públicos con perspectiva de género. (México). SEDATU.

"
160,Esquemas de desarrollo urbano,"Son los instrumentos de planeación urbana de carácter técnico administrativo que tienen por objeto ordenar y regular los centros de población rurales de manera equilibrada y sustentable a corto y mediano plazos, que cuentan con una población menor a 2 500 habitantes.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
161,Estacionamiento,"Espacio público o privado, de alquiler o gratuito para el guardado de vehículos en edificios o predios destinados exclusivamente a este fin.

Fuente: 
Gobierno de la Delegación Miguel Hidalgo. (1997). PROGRAMA Delegacional de Desarrollo Urbano de Miguel Hidalgo. México: Delegación Miguel Hidalgo.

"
162,Estero,"Cuerpo de agua inmediato a la costa de forma alargada y/o somero, influenciado directamente por mareas y corrientes superficiales. Fluye generalmente en forma paralela o subparalela a la línea de costa.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2014). Diccionario de Datos de Cuerpos de Agua Escala 1:50 000. México: INEGI.

"
163,Estructura urbana,"Conjunto de componentes que actúan interrelacionados (suelo, vialidad, transporte, vivienda, equipamiento urbano, infraestructura, imagen urbana, medio ambiente) que constituyen la ciudad.

Fuente: 
Plan Parcial de Desarrollo Urbano para el Canal de la Cortadura, Tampico, Tamaulipas. Centro de Estudios de Urbanismo y Arquitectura S.A. de C.V.

"
164,Estructura vial,"Conjunto de elementos de distinto tipo y jerarquía cuya función es permitir el tránsito de ve- hículos y peatones, así como facilitar la comunicación entre las diferentes áreas o zonas de actividad. Puede tener distinto carácter en función del medio considerado: local, urbano, regional, nacional, etcétera.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI), Secretaría de Comunicaciones y Trasportes (SCT). Red Nacional de Caminos, Documento Técnico Descriptivo.

Sitio(s) web:
http://antares.inegi.org.mx/analisis/red_hidro/documentosSeg/Documento_Tecnico_Descriptivo_Red_Nacional_de_Caminos.pdf
"
165,Expansión urbana,"El crecimiento de los centros de población que implica la transformación de suelo rural a urbano, la modificación del aprovechamiento y del régimen jurídico de propiedad de áreas y predios, así como la introducción o mejoramiento del equipamiento e infraestructura urbana.

Fuente: 
Secretaría General de Gobierno. (2003). Ley de Desarrollo Urbano Sustentable del Estado de Puebla. México: Orden Jurídico Poblano.

"
166,Explosión demográfica,"Crecimiento acelerado de la población.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
167,Falla geológica,"Desplazamiento de un bloque de roca con respecto a otro, como resultado de los esfuerzos o movimientos diferenciales que se generan en la corteza terrestre, siendo las de mayor importancia aquéllas que han sufrido desplazamiento durante el holoceno o último millón de años y que presentan evidencia de movimientos en años recientes.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
168,Fauna,"El conjunto de especies animales que viven, crecen y se desarrollan en un lugar determinado, o que existió durante algún periodo geológico específico.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
169,Fecundidad,"Fenómeno de la procreación humana efectiva, es decir, los hijos nacidos vivos en el seno de una población determinada.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
170,Fenómeno antropogénico,"Es el agente perturbador producido por la actividad humana.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Delegacionales 2017. Módulo 2: Administración Pública Municipal o Delegacional. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=cngmd2017
"
171,Fenómeno geológico,"Es el agente perturbador que tiene como causa directa las acciones y movimientos de la corteza terrestre. A esta categoría pertenecen los sismos, las erupciones volcánicas, los tsunamis, la inestabilidad de laderas, los flujos, los caídos o derrumbes, los hundimientos, la subsidencia y los agrietamientos.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Delegacionales 2017. Módulo 2: Administración Pública Municipal o Delegacional. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=cngmd2017
"
172,Fisiografía,"Disciplina que se encarga de la descripción de los rasgos físicos de la superficie terrestre y de los fenómenos que en ella se producen.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
173,Flora silvestre,"Las especies vegetales, así como los hongos, que subsisten sujetas a los procesos de selección natural y que se desarrollan libremente, incluyendo las poblaciones o especímenes de estas especies que se encuentran bajo control del hombre.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
174,Fondo metropolitano,"Programa por medio del cual se destinan recursos económicos para atender las necesidades de las metrópolis del país bajo dos principios: el primero, corresponde a la tendencia acelerada de México a concentrar cada vez más población y actividad económica en zonas metropolitanas y, el segundo, el reconocimiento que una metrópoli es un territorio con peculiaridades tales que exige de una acción específica por parte del Estado mexicano, particularmente porque para gobernarlas, administrarlas y planificarlas, se requiere de la concurrencia y coordinación de un conjunto de jurisdicciones político-administrativas que las integran y que impulsen la competitividad económica, la sustentabilidad y las capacidades productivas; la viabilidad y disminución de la vulnerabilidad o riesgos por fenómenos naturales, ambientales y los propiciados por la dinámica demográfica y económica; la consolidación urbana; y el aprovechamiento óptimo de las ventajas competitivas de funcionamiento regional, urbano y  económico del espacio territorial de las zonas metropolitanas.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
175,Fraccionador,"La persona física o moral que el Ayuntamiento autoriza para realizar un fraccionamiento sobre un predio determinado.

Fuente: 
Honorable Congreso del Estado de Sonora. (2006). Ley de Ordenamiento Territorial y Desarrollo Urbano del Estado de Sonora.

Sitio(s) web:
http://www.proteccioncivil.sonora.gob.mx/images/ordenamientoterritorial.pdf
"
